unitid,inst_name
104179,Arizona
110404,Caltech
110635,UC Berkeley
110644,UC Davis
110653,UC Irvine
110662,UCLA
110680,UC San Diego
110705,UC Santa Barbara
123961,Southern Cal
126614,Colorado
130794,Yale
134130,Florida
139658,Emory
139755,Georgia Tech
144050,"Chicago, Univ of"
145637,Illinois
147767,Northwestern
151351,Indiana
153603,Iowa State
153658,Iowa
155317,Kansas
160755,Tulane
162928,Johns Hopkins
163286,Maryland
164988,Boston University
165015,Brandeis
166027,Harvard
166683,MIT
170976,Michigan
171100,Michigan State
174066,Minnesota
178396,Missouri
179867,Wash. Univ - St Louis
186131,Princeton
186380,Rutgers
190150,Columbia
190415,Cornell University - Endowed College
190424,Cornell University Medical College
193900,NYU
195030,Rochester
196088,SUNY-Buffalo
196097,SUNY-Stony Brook
198419,Duke
199120,North Carolina
201645,Case Western
204796,Ohio State
209551,Oregon
211440,Carnegie-Mellon
214777,Penn State
215062,Penn
215293,Pittsburgh
217156,Brown
221999,Vanderbilt
227757,Rice
228723,Texas A&M
228778,Texas
234076,Virginia
236948,Washington
240444,Wisconsin
243744,Stanford
243780,Purdue
182670,Dartmouth
230764,Utah
110714,UC-Santa Cruz
