unitid,basic_code,carnegie_class
100363,6,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional
100654,18,Master's Colleges & Universities: Larger Programs
100663,15,Doctoral Universities: Very High Research Activity
100690,20,Master's Colleges & Universities: Small Programs
100706,16,Doctoral Universities: High Research Activity
100724,19,Master's Colleges & Universities: Medium Programs
100751,15,Doctoral Universities: Very High Research Activity
100760,2,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional
100812,22,Baccalaureate Colleges: Diverse Fields
100830,18,Master's Colleges & Universities: Larger Programs
100858,15,Doctoral Universities: Very High Research Activity
100937,21,Baccalaureate Colleges: Arts & Sciences Focus
101028,1,Associate's Colleges: High Transfer-High Traditional
101073,23,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's
101116,20,Master's Colleges & Universities: Small Programs
101143,5,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional
101161,5,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional
101189,19,Master's Colleges & Universities: Medium Programs
101240,7,Associate's Colleges: High Career & Technical-High Traditional
101286,7,Associate's Colleges: High Career & Technical-High Traditional
101295,7,Associate's Colleges: High Career & Technical-High Traditional
101301,5,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional
101365,23,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's
101435,22,Baccalaureate Colleges: Diverse Fields
101453,24,Special Focus Four-Year: Faith-Related Institutions
101462,7,Associate's Colleges: High Career & Technical-High Traditional
101480,18,Master's Colleges & Universities: Larger Programs
101505,8,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional
101514,2,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional
101541,21,Baccalaureate Colleges: Arts & Sciences Focus
101569,4,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional
101587,18,Master's Colleges & Universities: Larger Programs
101602,5,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional
101648,1,Associate's Colleges: High Transfer-High Traditional
101675,22,Baccalaureate Colleges: Diverse Fields
101693,22,Baccalaureate Colleges: Diverse Fields
101709,19,Master's Colleges & Universities: Medium Programs
101736,5,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional
101879,18,Master's Colleges & Universities: Larger Programs
101897,5,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional
101912,22,Baccalaureate Colleges: Diverse Fields
101994,8,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional
102030,8,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional
102049,17,Doctoral/Professional Universities
102058,24,Special Focus Four-Year: Faith-Related Institutions
102067,7,Associate's Colleges: High Career & Technical-High Traditional
102076,2,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional
102094,16,Doctoral Universities: High Research Activity
102234,21,Baccalaureate Colleges: Arts & Sciences Focus
102270,21,Baccalaureate Colleges: Arts & Sciences Focus
102298,21,Baccalaureate Colleges: Arts & Sciences Focus
102313,7,Associate's Colleges: High Career & Technical-High Traditional
102368,18,Master's Colleges & Universities: Larger Programs
102377,19,Master's Colleges & Universities: Medium Programs
102395,32,Special Focus Four-Year: Other Special Focus Institutions
102429,8,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional
102553,18,Master's Colleges & Universities: Larger Programs
102580,24,Special Focus Four-Year: Faith-Related Institutions
102614,16,Doctoral Universities: High Research Activity
102632,19,Master's Colleges & Universities: Medium Programs
102669,20,Master's Colleges & Universities: Small Programs
102845,23,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's
103501,13,Special Focus Two-Year: Other Fields
103893,10,Special Focus Two-Year: Health Professions
103909,10,Special Focus Two-Year: Health Professions
103945,26,Special Focus Four-Year: Other Health Professions Schools
104090,26,Special Focus Four-Year: Other Health Professions Schools
104151,15,Doctoral Universities: Very High Research Activity
104160,1,Associate's Colleges: High Transfer-High Traditional
104179,15,Doctoral Universities: Very High Research Activity
104188,30,"Special Focus Four-Year: Arts, Music & Design Schools"
104346,2,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional
104425,9,Associate's Colleges: High Career & Technical-High Nontraditional
104577,6,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional
104586,22,Baccalaureate Colleges: Diverse Fields
104665,30,"Special Focus Four-Year: Arts, Music & Design Schools"
104708,2,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional
104717,17,Doctoral/Professional Universities
105145,8,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional
105154,2,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional
105206,5,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional
105297,33,Tribal Colleges
105330,16,Doctoral Universities: High Research Activity
105349,9,Associate's Colleges: High Career & Technical-High Nontraditional
105367,20,Master's Colleges & Universities: Small Programs
105428,5,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional
105525,1,Associate's Colleges: High Transfer-High Traditional
105534,26,Special Focus Four-Year: Other Health Professions Schools
105543,10,Special Focus Two-Year: Health Professions
105589,20,Master's Colleges & Universities: Small Programs
105659,11,Special Focus Two-Year: Technical Professions
105668,9,Associate's Colleges: High Career & Technical-High Nontraditional
105747,3,Associate's Colleges: High Transfer-High Nontraditional
105792,2,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional
105899,22,Baccalaureate Colleges: Diverse Fields
106041,11,Special Focus Two-Year: Technical Professions
106102,29,Special Focus Four-Year: Business & Management Schools
106148,6,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional
106245,16,Doctoral Universities: High Research Activity
106263,25,Special Focus Four-Year: Medical Schools & Centers
106306,23,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's
106342,21,Baccalaureate Colleges: Arts & Sciences Focus
106397,15,Doctoral Universities: Very High Research Activity
106412,22,Baccalaureate Colleges: Diverse Fields
106449,5,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional
106458,16,Doctoral Universities: High Research Activity
106467,18,Master's Colleges & Universities: Larger Programs
106485,19,Master's Colleges & Universities: Medium Programs
106546,10,Special Focus Two-Year: Health Professions
106625,4,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional
106704,17,Doctoral/Professional Universities
106713,22,Baccalaureate Colleges: Diverse Fields
106795,6,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional
106810,22,Baccalaureate Colleges: Diverse Fields
106883,3,Associate's Colleges: High Transfer-High Nontraditional
106980,7,Associate's Colleges: High Career & Technical-High Traditional
106999,7,Associate's Colleges: High Career & Technical-High Traditional
107044,17,Doctoral/Professional Universities
107071,19,Master's Colleges & Universities: Medium Programs
107080,21,Baccalaureate Colleges: Arts & Sciences Focus
107141,19,Master's Colleges & Universities: Medium Programs
107318,3,Associate's Colleges: High Transfer-High Nontraditional
107327,9,Associate's Colleges: High Career & Technical-High Nontraditional
107460,4,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional
107512,22,Baccalaureate Colleges: Diverse Fields
107521,9,Associate's Colleges: High Career & Technical-High Nontraditional
107549,8,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional
107558,22,Baccalaureate Colleges: Diverse Fields
107585,4,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional
107600,22,Baccalaureate Colleges: Diverse Fields
107619,6,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional
107637,1,Associate's Colleges: High Transfer-High Traditional
107664,1,Associate's Colleges: High Transfer-High Traditional
107725,4,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional
107743,6,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional
107840,2,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional
107877,21,Baccalaureate Colleges: Arts & Sciences Focus
107974,5,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional
107983,18,Master's Colleges & Universities: Larger Programs
107992,9,Associate's Colleges: High Career & Technical-High Nontraditional
108092,22,Baccalaureate Colleges: Diverse Fields
108232,18,Master's Colleges & Universities: Larger Programs
108269,26,Special Focus Four-Year: Other Health Professions Schools
108667,2,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional
108807,2,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional
108852,12,Special Focus Two-Year: Arts & Design
108861,24,Special Focus Four-Year: Faith-Related Institutions
