cipcode,cip6,cip6_description,cip4,cip4_description,cip2,cip2_description
01.0000,1,"Agriculture, General.",1,"Agriculture, General.",1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0101,1.0101,"Agricultural Business and Management, General.",1.01,Agricultural Business and Management.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0102,1.0102,Agribusiness/Agricultural Business Operations.,1.01,Agricultural Business and Management.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0103,1.0103,Agricultural Economics.,1.01,Agricultural Business and Management.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0104,1.0104,Farm/Farm and Ranch Management.,1.01,Agricultural Business and Management.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0105,1.0105,Agricultural/Farm Supplies Retailing and Wholesali,1.01,Agricultural Business and Management.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0106,1.0106,Agricultural Business Technology.,1.01,Agricultural Business and Management.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0199,1.0199,"Agricultural Business and Management, Other.",1.01,Agricultural Business and Management.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0201,1.0201,"Agricultural Mechanization, General.",1.02,Agricultural Mechanization.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0204,1.0204,Agricultural Power Machinery Operation.,1.02,Agricultural Mechanization.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0205,1.0205,Agricultural Mechanics and Equipment/Machine Techn,1.02,Agricultural Mechanization.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0299,1.0299,"Agricultural Mechanization, Other.",1.02,Agricultural Mechanization.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0301,1.0301,"Agricultural Production Operations, General.",1.03,Agricultural Production Operations.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0302,1.0302,Animal/Livestock Husbandry and Production.,1.03,Agricultural Production Operations.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0303,1.0303,Aquaculture.,1.03,Agricultural Production Operations.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0304,1.0304,Crop Production.,1.03,Agricultural Production Operations.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0306,1.0306,Dairy Husbandry and Production.,1.03,Agricultural Production Operations.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0307,1.0307,Horse Husbandry/Equine Science and Management.,1.03,Agricultural Production Operations.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0308,1.0308,Agroecology and Sustainable Agriculture.,1.03,Agricultural Production Operations.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0309,1.0309,Viticulture and Enology.,1.03,Agricultural Production Operations.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0399,1.0399,"Agricultural Production Operations, Other.",1.03,Agricultural Production Operations.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0401,1.0401,Agricultural and Food Products Processing.,1.04,Agricultural and Food Products Processing.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0504,1.0504,Dog/Pet/Animal Grooming.,1.05,Agricultural and Domestic Animal Services.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0505,1.0505,Animal Training.,1.05,Agricultural and Domestic Animal Services.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0507,1.0507,Equestrian/Equine Studies.,1.05,Agricultural and Domestic Animal Services.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0508,1.0508,Taxidermy/Taxidermist.,1.05,Agricultural and Domestic Animal Services.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0599,1.0599,"Agricultural and Domestic Animal Services, Other.",1.05,Agricultural and Domestic Animal Services.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0601,1.0601,"Applied Horticulture/Horticulture Operations, Gene",1.06,Applied Horticulture and Horticultural Business Se,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0603,1.0603,Ornamental Horticulture.,1.06,Applied Horticulture and Horticultural Business Se,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0604,1.0604,Greenhouse Operations and Management.,1.06,Applied Horticulture and Horticultural Business Se,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0605,1.0605,Landscaping and Groundskeeping.,1.06,Applied Horticulture and Horticultural Business Se,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0606,1.0606,Plant Nursery Operations and Management.,1.06,Applied Horticulture and Horticultural Business Se,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0607,1.0607,Turf and Turfgrass Management.,1.06,Applied Horticulture and Horticultural Business Se,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0608,1.0608,Floriculture/Floristry Operations and Management.,1.06,Applied Horticulture and Horticultural Business Se,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0699,1.0699,Applied Horticulture/Horticultural Business Servic,1.06,Applied Horticulture and Horticultural Business Se,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0701,1.0701,International Agriculture.,1.07,International Agriculture.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0801,1.0801,Agricultural and Extension Education Services.,1.08,Agricultural Public Services.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0802,1.0802,Agricultural Communication/Journalism.,1.08,Agricultural Public Services.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0899,1.0899,"Agricultural Public Services, Other.",1.08,Agricultural Public Services.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0901,1.0901,"Animal Sciences, General.",1.09,Animal Sciences.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0902,1.0902,Agricultural Animal Breeding.,1.09,Animal Sciences.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0903,1.0903,Animal Health.,1.09,Animal Sciences.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0904,1.0904,Animal Nutrition.,1.09,Animal Sciences.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0905,1.0905,Dairy Science.,1.09,Animal Sciences.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0906,1.0906,Livestock Management.,1.09,Animal Sciences.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0907,1.0907,Poultry Science.,1.09,Animal Sciences.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.0999,1.0999,"Animal Sciences, Other.",1.09,Animal Sciences.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.1001,1.1001,Food Science.,1.1,Food Science and Technology.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.1002,1.1002,Food Technology and Processing.,1.1,Food Science and Technology.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.1099,1.1099,"Food Science and Technology, Other.",1.1,Food Science and Technology.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.1101,1.1101,"Plant Sciences, General.",1.11,Plant Sciences.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.1102,1.1102,Agronomy and Crop Science.,1.11,Plant Sciences.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.1103,1.1103,Horticultural Science.,1.11,Plant Sciences.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.1104,1.1104,Agricultural and Horticultural Plant Breeding.,1.11,Plant Sciences.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.1105,1.1105,Plant Protection and Integrated Pest Management.,1.11,Plant Sciences.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.1106,1.1106,Range Science and Management.,1.11,Plant Sciences.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.1199,1.1199,"Plant Sciences, Other.",1.11,Plant Sciences.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.1201,1.1201,"Soil Science and Agronomy, General.",1.12,Soil Sciences.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.1202,1.1202,Soil Chemistry and Physics.,1.12,Soil Sciences.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.1203,1.1203,Soil Microbiology.,1.12,Soil Sciences.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.1299,1.1299,"Soil Sciences, Other.",1.12,Soil Sciences.,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
01.9999,1.9999,"Agriculture, Agriculture Operations, and Related S",1.99,"Agriculture, Agriculture Operations, and Related S",1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED S"
