fips_code,state_fips,county_fips,county_name
0.0,0.0,0,Not applicable
1.001,1.0,1001,Autauga
1.003,1.0,1003,Baldwin
1.005,1.0,1005,Barbour
1.007,1.0,1007,Bibb
1.009,1.0,1009,Blount
1.011,1.0,1011,Bullock
1.013,1.0,1013,Butler
1.015,1.0,1015,Calhoun
1.017,1.0,1017,Chambers
1.019,1.0,1019,Cherokee
1.021,1.0,1021,Chilton
1.023,1.0,1023,Choctaw
1.025,1.0,1025,Clarke
1.027,1.0,1027,Clay
1.029,1.0,1029,Cleburne
1.031,1.0,1031,Coffee
1.033,1.0,1033,Colbert
1.035,1.0,1035,Conecuh
1.037,1.0,1037,Coosa
1.039,1.0,1039,Covington
1.041,1.0,1041,Crenshaw
1.043,1.0,1043,Cullman
1.045,1.0,1045,Dale
1.047,1.0,1047,Dallas
1.049,1.0,1049,De Kalb
1.051,1.0,1051,Elmore
1.053,1.0,1053,Escambia
1.055,1.0,1055,Etowah
1.057,1.0,1057,Fayette
1.059,1.0,1059,Franklin
1.061,1.0,1061,Geneva
1.063,1.0,1063,Greene
1.065,1.0,1065,Hale
1.067,1.0,1067,Henry
1.069,1.0,1069,Houston
1.071,1.0,1071,Jackson
1.073,1.0,1073,Jefferson
1.075,1.0,1075,Lamar
1.077,1.0,1077,Lauderdale
1.079,1.0,1079,Lawrence
1.081,1.0,1081,Lee
1.083,1.0,1083,Limestone
1.085,1.0,1085,Lowndes
1.087,1.0,1087,Macon
1.089,1.0,1089,Madison
1.091,1.0,1091,Marengo
1.093,1.0,1093,Marion
1.095,1.0,1095,Marshall
1.097,1.0,1097,Mobile
1.099,1.0,1099,Monroe
1.101,1.0,1101,Montgomery
1.103,1.0,1103,Morgan
1.105,1.0,1105,Perry
1.107,1.0,1107,Pickens
1.109,1.0,1109,Pike
1.111,1.0,1111,Randolph
1.113,1.0,1113,Russell
1.115,1.0,1115,St Clair
1.117,1.0,1117,Shelby
1.119,1.0,1119,Sumter
1.121,1.0,1121,Talladega
1.123,1.0,1123,Tallapoosa
1.125,1.0,1125,Tuscaloosa
1.127,1.0,1127,Walker
1.129,1.0,1129,Washington
1.131,1.0,1131,Wilcox
1.133,1.0,1133,Winston
2.013,2.0,2013,Aleutians East
2.016,2.0,2016,Aleutians West
2.02,2.0,2020,Anchorage
2.05,2.0,2050,Bethel
2.06,2.0,2060,Bristol Bay
2.068,2.0,2068,Denali
2.07,2.0,2070,Dillingham
2.09,2.0,2090,Fairbanks North Star
2.1,2.0,2100,Haines
2.11,2.0,2110,Juneau
2.122,2.0,2122,Kenai Peninsula
2.13,2.0,2130,Ketchikan Gateway
2.15,2.0,2150,Kodiak Island
2.164,2.0,2164,Lake and Peninsula
2.17,2.0,2170,Matanuska-Susitna
2.18,2.0,2180,Nome
2.185,2.0,2185,North Slope
2.188,2.0,2188,Northwest Arctic
2.201,2.0,2201,Prince of Wales-Outer Ketchikan
2.22,2.0,2220,Sitka
2.232,2.0,2232,Skagway-Hoonah-Angoon
2.24,2.0,2240,Southeast Fairbanks
2.261,2.0,2261,Valdez-Cordova
2.27,2.0,2270,Wade Hampton
2.28,2.0,2280,Wrangell-Petersburg
2.282,2.0,2282,Yakutat
2.29,2.0,2290,Yukon-Koyukuk
4.001,4.0,4001,Apache
4.003,4.0,4003,Cochise
4.005,4.0,4005,Coconino
4.007,4.0,4007,Gila
4.009,4.0,4009,Graham
4.011,4.0,4011,Greenlee
4.012,4.0,4012,La Paz
4.013,4.0,4013,Maricopa
4.015,4.0,4015,Mohave
4.017,4.0,4017,Navajo
4.019,4.0,4019,Pima
4.021,4.0,4021,Pinal
4.023,4.0,4023,Santa Cruz
4.025,4.0,4025,Yavapai
4.027,4.0,4027,Yuma
5.001,5.0,5001,Arkansas
5.003,5.0,5003,Ashley
5.005,5.0,5005,Baxter
5.007,5.0,5007,Benton
5.009,5.0,5009,Boone
5.011,5.0,5011,Bradley
5.013,5.0,5013,Calhoun
5.015,5.0,5015,Carroll
5.017,5.0,5017,Chicot
5.019,5.0,5019,Clark
5.021,5.0,5021,Clay
5.023,5.0,5023,Cleburne
5.025,5.0,5025,Cleveland
5.027,5.0,5027,Columbia
5.029,5.0,5029,Conway
5.031,5.0,5031,Craighead
5.033,5.0,5033,Crawford
5.035,5.0,5035,Crittenden
5.037,5.0,5037,Cross
5.039,5.0,5039,Dallas
5.041,5.0,5041,Desha
5.043,5.0,5043,Drew
5.045,5.0,5045,Faulkner
5.047,5.0,5047,Franklin
5.049,5.0,5049,Fulton
5.051,5.0,5051,Garland
5.053,5.0,5053,Grant
5.055,5.0,5055,Greene
5.057,5.0,5057,Hempstead
5.059,5.0,5059,Hot Spring
5.061,5.0,5061,Howard
5.063,5.0,5063,Independence
5.065,5.0,5065,Izard
5.067,5.0,5067,Jackson
5.069,5.0,5069,Jefferson
5.071,5.0,5071,Johnson
5.073,5.0,5073,Lafayette
5.075,5.0,5075,Lawrence
5.077,5.0,5077,Lee
5.079,5.0,5079,Lincoln
5.081,5.0,5081,Little River
5.083,5.0,5083,Logan
5.085,5.0,5085,Lonoke
5.087,5.0,5087,Madison
5.089,5.0,5089,Marion
5.091,5.0,5091,Miller
5.093,5.0,5093,Mississippi
5.095,5.0,5095,Monroe
5.097,5.0,5097,Montgomery
5.099,5.0,5099,Nevada
5.101,5.0,5101,Newton
5.103,5.0,5103,Ouachita
5.105,5.0,5105,Perry
5.107,5.0,5107,Phillips
5.109,5.0,5109,Pike
5.111,5.0,5111,Poinsett
5.113,5.0,5113,Polk
5.115,5.0,5115,Pope
5.117,5.0,5117,Prairie
5.119,5.0,5119,Pulaski
5.121,5.0,5121,Randolph
5.123,5.0,5123,St Francis
5.125,5.0,5125,Saline
5.127,5.0,5127,Scott
5.129,5.0,5129,Searcy
5.131,5.0,5131,Sebastian
5.133,5.0,5133,Sevier
5.135,5.0,5135,Sharp
5.137,5.0,5137,Stone
5.139,5.0,5139,Union
5.141,5.0,5141,Van Buren
5.143,5.0,5143,Washington
5.145,5.0,5145,White
5.147,5.0,5147,Woodruff
5.149,5.0,5149,Yell
6.001,6.0,6001,Alameda
6.003,6.0,6003,Alpine
6.005,6.0,6005,Amador
6.007,6.0,6007,Butte
6.009,6.0,6009,Calaveras
6.011,6.0,6011,Colusa
6.013,6.0,6013,Contra Costa
6.015,6.0,6015,Del Norte
6.017,6.0,6017,El Dorado
6.019,6.0,6019,Fresno
6.021,6.0,6021,Glenn
6.023,6.0,6023,Humboldt
6.025,6.0,6025,Imperial
6.027,6.0,6027,Inyo
6.029,6.0,6029,Kern
6.031,6.0,6031,Kings
6.033,6.0,6033,Lake
6.035,6.0,6035,Lassen
6.037,6.0,6037,Los Angeles
6.039,6.0,6039,Madera
6.041,6.0,6041,Marin
6.043,6.0,6043,Mariposa
6.045,6.0,6045,Mendocino
6.047,6.0,6047,Merced
6.049,6.0,6049,Modoc
6.051,6.0,6051,Mono
6.053,6.0,6053,Monterey
6.055,6.0,6055,Napa
6.057,6.0,6057,Nevada
6.059,6.0,6059,Orange
6.061,6.0,6061,Placer
6.063,6.0,6063,Plumas
6.065,6.0,6065,Riverside
6.067,6.0,6067,Sacramento
6.069,6.0,6069,San Benito
6.071,6.0,6071,San Bernardino
6.073,6.0,6073,San Diego
6.075,6.0,6075,San Francisco
6.077,6.0,6077,San Joaquin
6.079,6.0,6079,San Luis Obispo
6.081,6.0,6081,San Mateo
6.083,6.0,6083,Santa Barbara
6.085,6.0,6085,Santa Clara
6.087,6.0,6087,Santa Cruz
6.089,6.0,6089,Shasta
6.091,6.0,6091,Sierra
6.093,6.0,6093,Siskiyou
