"agency_key","agency_name","agency_short_name","agency_type"
"BUS","Business","Business","Non-federal"
"DOD","Department of Defense","DOD","Federal"
"DOE","Department of Energy","DOE","Federal"
"HHS","Department of Health and Human Services","HHS","Federal"
"INS","Institution funds","Institution funds","Non-federal"
"NAS","National Aeronautics and Space Administration","NASA","Federal"
"NPO","Nonprofit organziations","Nonprofit organziations","Non-federal"
"NSF","National Science Foundation","NSF","Federal"
"OTH","Other agencies","Other agencies","Non-federal"
"SLG","State and local government","State and local government","Non-federal"
"USD","Department of Agriculture","USDA","Federal"
