unitid,group_name
145637,Big Ten Peers
147767,Big Ten Peers
151351,Big Ten Peers
153658,Big Ten Peers
163286,Big Ten Peers
170976,Big Ten Peers
171100,Big Ten Peers
174066,Big Ten Peers
181464,Big Ten Peers
186380,Big Ten Peers
204796,Big Ten Peers
214777,Big Ten Peers
240444,Big Ten Peers
243780,Big Ten Peers
181464,Regents Peers
153658,Regents Peers
153603,Regents Peers
126614,Regents Peers
126818,Regents Peers
145637,Regents Peers
155317,Regents Peers
174066,Regents Peers
178396,Regents Peers
204796,Regents Peers
243780,Regents Peers
