PS_term,amis_term,semester,semester_desc,academic_year,acad_begin_year,acad_end_year,fiscal_year,calendar_year,start_date,end_date,chron_key
958,19961,Fall,Fall 1995,1995-1996,1995,1996,1995-1996,1995,8/1/1995,12/31/1995,0
961,19962,Spring,Spring 1996,1995-1996,1995,1996,1995-1996,1996,1/1/1996,5/31/1996,1
965,19963,Summer,Summer 1996,1995-1996,1995,1996,1996-1997,1996,6/1/1996,7/31/1996,2
968,19971,Fall,Fall 1996,1996-1997,1996,1997,1996-1997,1996,8/1/1996,12/31/1996,3
971,19972,Spring,Spring 1997,1996-1997,1996,1997,1996-1997,1997,1/1/1997,5/31/1997,4
0975,19973,Summer,Summer 1997,1996-1997,1996,1997,1997-1998,1997,6/1/1997,7/31/1997,5
0978,19981,Fall,Fall 1997,1997-1998,1997,1998,1997-1998,1997,8/1/1997,12/31/1997,6
0981,19982,Spring,Spring 1998,1997-1998,1997,1998,1997-1998,1998,1/1/1998,5/31/1998,7
0985,19983,Summer,Summer 1998,1997-1998,1997,1998,1998-1999,1998,6/1/1998,7/31/1998,8
0988,19991,Fall,Fall 1998,1998-1999,1998,1999,1998-1999,1998,8/1/1998,12/31/1998,9
0991,19992,Spring,Spring 1999,1998-1999,1998,1999,1998-1999,1999,1/1/1999,5/31/1999,10
0995,19993,Summer,Summer 1999,1998-1999,1998,1999,1999-2000,1999,6/1/1999,7/31/1999,11
0998,20001,Fall,Fall 1999,1999-2000,1999,2000,1999-2000,1999,8/1/1999,12/31/1999,12
1001,20002,Spring,Spring 2000,1999-2000,1999,2000,1999-2000,2000,1/1/2000,5/31/2000,13
1005,20003,Summer,Summer 2000,1999-2000,1999,2000,2000-2001,2000,6/1/2000,7/31/2000,14
1008,20011,Fall,Fall 2000,2000-2001,2000,2001,2000-2001,2000,8/1/2000,12/31/2000,15
1011,20012,Spring,Spring 2001,2000-2001,2000,2001,2000-2001,2001,1/1/2001,5/31/2001,16
1015,20013,Summer,Summer 2001,2000-2001,2000,2001,2001-2002,2001,6/1/2001,7/31/2001,17
1018,20021,Fall,Fall 2001,2001-2002,2001,2002,2001-2002,2001,8/1/2001,12/31/2001,18
1021,20022,Spring,Spring 2002,2001-2002,2001,2002,2001-2002,2002,1/1/2002,5/31/2002,19
1025,20023,Summer,Summer 2002,2001-2002,2001,2002,2002-2003,2002,6/1/2002,7/31/2002,20
1028,20031,Fall,Fall 2002,2002-2003,2002,2003,2002-2003,2002,8/1/2002,12/31/2002,21
1031,20032,Spring,Spring 2003,2002-2003,2002,2003,2002-2003,2003,1/1/2003,5/31/2003,22
1035,20033,Summer,Summer 2003,2002-2003,2002,2003,2003-2004,2003,6/1/2003,7/31/2003,23
1038,20041,Fall,Fall 2003,2003-2004,2003,2004,2003-2004,2003,8/1/2003,12/31/2003,24
1041,20042,Spring,Spring 2004,2003-2004,2003,2004,2003-2004,2004,1/1/2004,5/31/2004,25
1045,20043,Summer,Summer 2004,2003-2004,2003,2004,2004-2005,2004,6/1/2004,7/31/2004,26
1048,20051,Fall,Fall 2004,2004-2005,2004,2005,2004-2005,2004,8/1/2004,12/31/2004,27
1051,20052,Spring,Spring 2005,2004-2005,2004,2005,2004-2005,2005,1/1/2005,5/31/2005,28
1055,20053,Summer,Summer 2005,2004-2005,2004,2005,2005-2006,2005,6/1/2005,7/31/2005,29
1058,20061,Fall,Fall 2005,2005-2006,2005,2006,2005-2006,2005,8/1/2005,12/31/2005,30
1061,20062,Spring,Spring 2006,2005-2006,2005,2006,2005-2006,2006,1/1/2006,5/31/2006,31
1065,20063,Summer,Summer 2006,2005-2006,2005,2006,2006-2007,2006,6/1/2006,7/31/2006,32
1068,20071,Fall,Fall 2006,2006-2007,2006,2007,2006-2007,2006,8/1/2006,12/31/2006,33
1071,20072,Spring,Spring 2007,2006-2007,2006,2007,2006-2007,2007,1/1/2007,5/31/2007,34
1075,20073,Summer,Summer 2007,2006-2007,2006,2007,2007-2008,2007,6/1/2007,7/31/2007,35
1078,20081,Fall,Fall 2007,2007-2008,2007,2008,2007-2008,2007,8/1/2007,12/31/2007,36
1081,20082,Spring,Spring 2008,2007-2008,2007,2008,2007-2008,2008,1/1/2008,5/31/2008,37
1085,20083,Summer,Summer 2008,2007-2008,2007,2008,2008-2009,2008,6/1/2008,7/31/2008,38
1088,20091,Fall,Fall 2008,2008-2009,2008,2009,2008-2009,2008,8/1/2008,12/31/2008,39
1091,20092,Spring,Spring 2009,2008-2009,2008,2009,2008-2009,2009,1/1/2009,5/31/2009,40
1095,20093,Summer,Summer 2009,2008-2009,2008,2009,2009-2010,2009,6/1/2009,7/31/2009,41
